Store,Alamat_lengkap,Produk_BestSeller,e-commere,outlet_id,produk_id,sampling_index,lat,lon,Rating_global_produk,Jumlah_ulasan
Summarecon Mall Bandung," Jl. Grand Bulevar No.1, Cisaranten Kidul, Kec. Gedebage, Kota Bandung, Jawa Barat 40295",SOL DE JANEIRO Body Badalada Vitamin-Infused Lotion,Sephora,SEP_BDG_01,indonesia-102952-51451,0,-6.955033396,107.6985416,4.9,1038
Paris Van Java,"Jl. Sukajadi No.131-139, Cipedes, Kec. Sukajadi, Kota Bandung, Jawa Barat 40162",HUDA Beauty Easy Bake Loose Powder,Sephora,SEP_BDG_02,default-105295-278187,0,-6.887891584,107.5958305,4.8,8018
Paris Van Java,"Jl. Sukajadi No.131-139, Cipedes, Kec. Sukajadi, Kota Bandung, Jawa Barat 40162",RARE Beauty Soft Pinch Liquid Blush,Sephora,SEP_BDG_02,default-31326-251201,0,-6.887891584,107.5958305,4.7,23347
Paris Van Java,"Jl. Sukajadi No.131-139, Cipedes, Kec. Sukajadi, Kota Bandung, Jawa Barat 40162",BILLIE ELISH Eilish Eau De Parfum,Sephora,SEP_BDG_02,default-39315-246985,0,-6.887891584,107.5958305,4.8,1110
Paris Van Java,"Jl. Sukajadi No.131-139, Cipedes, Kec. Sukajadi, Kota Bandung, Jawa Barat 40162",BOBBI BROWN Vitamin Enriche Face Base,Sephora,SEP_BDG_02,default-17910-201263,1,-6.887891584,107.5958305,4.7,1331
Paris Van Java,"Jl. Sukajadi No.131-139, Cipedes, Kec. Sukajadi, Kota Bandung, Jawa Barat 40162",DIOR Backstage Rosy Glow Blush,Sephora,SEP_BDG_02,default-104954-274711,1,-6.887891584,107.5958305,4.7,119
Paris Van Java,"Jl. Sukajadi No.131-139, Cipedes, Kec. Sukajadi, Kota Bandung, Jawa Barat 40162",MAC COSMETICS M•A•Cximal Silky Matte Lipstick,Sephora,SEP_BDG_02,default-48201-263199,0,-6.887891584,107.5958305,4.8,530
Paris Van Java,"Jl. Sukajadi No.131-139, Cipedes, Kec. Sukajadi, Kota Bandung, Jawa Barat 40162",SOL DE JANEIRO Body Badalada Vitamin-Infused Lotion,Sephora,SEP_BDG_02,indonesia-102952-51451,1,-6.887891584,107.5958305,4.9,1038
23 Paskal,"Jl. Pasir Kaliki No.25-27, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40241",Yves Saint Laurent Touche Éclat Glow-Pact Cushion,Sephora,SEP_BDG_03,indonesia-31341-45977,1,-6.91460502,107.5958065,5,22
23 Paskal,"Jl. Pasir Kaliki No.25-27, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40241",LANEIGE Glaze Craze Tinted Lip Serum,Sephora,SEP_BDG_03,default-104081-274480,1,-6.91460502,107.5958065,4.6,1297
23 Paskal,"Jl. Pasir Kaliki No.25-27, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40241",BILLIE ELISH Eilish Eau De Parfum,Sephora,SEP_BDG_03,default-39315-246985,1,-6.91460502,107.5958065,4.8,1110
23 Paskal,"Jl. Pasir Kaliki No.25-27, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40241",DIOR Backstage Rosy Glow Blush,Sephora,SEP_BDG_03,default-104954-274711,2,-6.91460502,107.5958065,4.6,314
23 Paskal,"Jl. Pasir Kaliki No.25-27, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40241",NATASHA DENONA Eye Sculpt Eyeshadow Palette,Sephora,SEP_BDG_03,indonesia-103734-52814,1,-6.91460502,107.5958065,4.8,250
23 Paskal,"Jl. Pasir Kaliki No.25-27, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40241",MAC COSMETICS M•A•Cximal Silky Matte Lipstick,Sephora,SEP_BDG_03,default-48201-263199,1,-6.91460502,107.5958065,4.8,530
23 Paskal,"Jl. Pasir Kaliki No.25-27, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40241",SOL DE JANEIRO Body Badalada Vitamin-Infused Lotion,Sephora,SEP_BDG_03,indonesia-102952-51451,2,-6.91460502,107.5958065,4.9,1038
